Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Expo	498.425195134054	1	4.44317484060576	0.0369033817286284	0.0320938525551825	0.95	0	0.110506084314713	2016	Nose	faith_pd
Gender	64.9145453310484	1	0.578675952620538	0.448168278691859	0.00429990820257635	0.95	0	0.0522126831135069	2016	Nose	faith_pd
Residuals	15031.8136341575	134	NA	NA	NA	NA	NA	NA	2016	Nose	faith_pd
(Intercept)	13.5465377053457	1	836.650568344074	3.1400974758928e-59	NA	NA	NA	NA	2015	Nose	pielou_e
Age_num	0.0116052264930073	1	0.716752837686693	0.39873185940458	0.00536023215099106	0.95	0	0.055866793156064	2015	Nose	pielou_e
Expo	0.0316542556525308	1	1.95500515026417	0.164375782426275	0.0144863478615512	0.95	0	0.0783598242123558	2015	Nose	pielou_e
Gender	0.00543870549421666	1	0.335901035509375	0.563185269158919	0.00251920925197723	0.95	0	0.0440864191799249	2015	Nose	pielou_e
Residuals	2.1534551974033	133	NA	NA	NA	NA	NA	NA	2015	Nose	pielou_e
(Intercept)	12.2336301325907	1	873.552547510716	1.46272769060741e-60	NA	NA	NA	NA	2016	Nose	pielou_e
Age_num	0.00415887841275997	1	0.296968176483887	0.586695205832527	0.00221127982646363	0.95	0	0.044027488764846	2016	Nose	pielou_e
Expo	0.0403202261122546	1	2.87909932332647	0.0920578702392046	0.0210338856520794	0.95	0	0.09106729324136	2016	Nose	pielou_e
Gender	0.0144240722464302	1	1.02996289080054	0.31199632910721	0.0076276618074277	0.95	0	0.0620007654279025	2016	Nose	pielou_e
Residuals	1.87659739810563	134	NA	NA	NA	NA	NA	NA	2016	Nose	pielou_e
(Intercept)	454.578561806247	1	289.554609644795	3.42557595036863e-35	NA	NA	NA	NA	2015	Nose	shannon
Age_num	11.964419048108	1	7.62102082715077	0.00658434115551627	0.0541954594151213	0.95	0.00436094122825414	0.144691724905606	2015	Nose	shannon
Expo	0.0172222917111071	1	0.0109701476765284	0.916741121594919	8.24755105864477e-05	0.95	0	0.0178343223332138	2015	Nose	shannon
Gender	0.939672982060586	1	0.598547019976458	0.440505904289233	0.00448019108985489	0.95	0	0.0530774178673438	2015	Nose	shannon
Residuals	208.799814288564	133	NA	NA	NA	NA	NA	NA	2015	Nose	shannon
(Intercept)	422.115794947297	1	325.355981813393	1.15659268244375e-37	NA	NA	NA	NA	2016	Nose	shannon
Age_num	7.779293692632	1	5.99607919788226	0.0156299686741281	0.0428303366225485	0.95	0.00132161995280177	0.12754176383782	2016	Nose	shannon
Expo	0.0251798748136878	1	0.0194079989188004	0.889412301106369	0.000144814838452032	0.95	0	0.021849859929991	2016	Nose	shannon
Gender	0.787705016440924	1	0.607142736829997	0.437239586263812	0.00451047934370779	0.95	0	0.0529113711702205	2016	Nose	shannon
Residuals	173.851165138189	134	NA	NA	NA	NA	NA	NA	2016	Nose	shannon
(Intercept)	536353.697134975	1	54.9422175556407	1.29509406307945e-11	NA	NA	NA	NA	2015	Nose	observed_otus
Age_num	33613.8826818161	1	3.44328987580255	0.0657226321310151	0.0252360513949554	0.95	0	0.0990913291899479	2015	Nose	observed_otus
Expo	58308.6052892308	1	5.97293184381781	0.0158372571783398	0.0429791022220815	0.95	0.0012916672011394	0.128141157879443	2015	Nose	observed_otus
Gender	2782.68445746112	1	0.285048570872542	0.594302356741144	0.00213863875902758	0.95	0	0.0439107904944342	2015	Nose	observed_otus
Residuals	1298364.80747632	133	NA	NA	NA	NA	NA	NA	2015	Nose	observed_otus
(Intercept)	360358.459188995	1	68.0462075035988	1.31415406012863e-13	NA	NA	NA	NA	2016	Nose	observed_otus
Age_num	32477.4817814452	1	6.1326976185552	0.0145162357190339	0.0437635021859677	0.95	0.00154794398155683	0.128961116894091	2016	Nose	observed_otus
Expo	9682.59075836232	1	1.82835608021734	0.178599524393845	0.0134607833959026	0.95	0	0.0758466747247147	2016	Nose	observed_otus
Gender	3486.43702600419	1	0.658341191306093	0.418585059971837	0.00488897446293952	0.95	0	0.0541313445906075	2016	Nose	observed_otus
Residuals	709635.926862956	134	NA	NA	NA	NA	NA	NA	2016	Nose	observed_otus
(Intercept)	183745.115927713	1	1036.61708519729	8.37798842807236e-72	NA	NA	NA	NA	2015	Right_Arm	faith_pd
Age_num	1.19965762747961	1	0.00676799264434246	0.934536577889303	4.22981648167132e-05	0.95	0	0.0119163303275573	2015	Right_Arm	faith_pd
Expo	9327.79551537608	1	52.6237236274055	1.64162264829008e-11	0.247496952501977	0.95	0.141231976027911	0.353780911123572	2015	Right_Arm	faith_pd
Gender	979.302439576146	1	5.52483604973423	0.019967992751847	0.033377686283128	0.95	0.000508132623263684	0.104615267844478	2015	Right_Arm	faith_pd
Residuals	28360.73123649	160	NA	NA	NA	NA	NA	NA	2015	Right_Arm	faith_pd
(Intercept)	87612.8046211305	1	374.286075466793	1.05141246663818e-31	NA	NA	NA	NA	2016	Right_Arm	faith_pd
Age_num	101.842381190843	1	0.435075504510451	0.511427277909292	0.0054771208027082	0.95	0	0.0794313806250601	2016	Right_Arm	faith_pd
Expo	1514.17138866559	1	6.46861231184767	0.0129316298637715	0.0756840685355434	0.95	0.00329245490735824	0.206570503274622	2016	Right_Arm	faith_pd
Gender	46.3873165387813	1	0.198168826278493	0.65742040147776	0.00250218949775438	0.95	0	0.0660493220460873	2016	Right_Arm	faith_pd
Residuals	18492.3031305325	79	NA	NA	NA	NA	NA	NA	2016	Right_Arm	faith_pd
(Intercept)	44.1075059294991	1	11537.1190590313	4.84664117757702e-151	NA	NA	NA	NA	2015	Right_Arm	pielou_e
Age_num	0.000291841130894199	1	0.0763363468982011	0.78268164419784	0.000476874650184236	0.95	0	0.0269780623656043	2015	Right_Arm	pielou_e
Expo	0.00562878681934309	1	1.4723113974403	0.226769591660331	0.00911804249718346	0.95	0	0.0592998883385421	2015	Right_Arm	pielou_e
Gender	0.0305333609211255	1	7.98655495920483	0.0053138611028477	0.0475428224666215	0.95	0.00433740127243992	0.12614803643611	2015	Right_Arm	pielou_e
Residuals	0.611695251874468	160	NA	NA	NA	NA	NA	NA	2015	Right_Arm	pielou_e
(Intercept)	24.1704295734258	1	6700.76102435823	3.78038474262703e-78	NA	NA	NA	NA	2016	Right_Arm	pielou_e
Age_num	0.0155125218225917	1	4.30053182557466	0.0413586919194129	0.0516267031113279	0.95	0	0.172193890799535	2016	Right_Arm	pielou_e
