Factors	Sum Sq	Df	F value	p_value	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice	q_value
Age_num:Gender	12.3185965461598	1	0.00985564124592602	0.921184339012289	0.000131391284007573	0.95	0	0.0298059890880445	2016	Mouth	observed_otus	0.967587610190413
Expo	1045.75874610461	1	0.836671855659515	0.363281819348556	0.0110325497570879	0.95	0	0.0965670745596166	2016	Mouth	observed_otus	0.683423898117453
Expo:Gender	1627.71927806144	1	1.30227637487261	0.257428539852648	0.017067333200841	0.95	0	0.113945641447319	2016	Mouth	observed_otus	0.610847382701198
Gender	33.1438464199746	1	0.0265171327432726	0.87108173320917	0.000353436808166854	0.95	0	0.0422686196790601	2016	Mouth	observed_otus	0.934493813404473
Residuals	93742.7325029605	75	NA	NA	NA	NA	NA	NA	2016	Mouth	observed_otus	NA
(Intercept)	1134.31172537859	1	5.83885968526634	0.0181770349183717	NA	NA	NA	NA	2015	Nose	faith_pd	0.0877512030542081
Age_num	3518.7749489499	1	18.1128632731812	6.10017275175593e-05	0.198795895798751	0.95	0.0603508235892502	0.35368846611841	2015	Nose	faith_pd	0.000437961120638887
Age_num:Expo	195.473739046221	1	1.00619936205307	0.31912855350741	0.0135961496567408	0.95	0	0.107529441899804	2015	Nose	faith_pd	0.66338043758909
Age_num:Gender	22.1134573299441	1	0.113828828193214	0.736794663441853	0.00155687138832101	0.95	0	0.0627810230452981	2015	Nose	faith_pd	0.885418479672613
Expo	76.8392774040749	1	0.395529508372053	0.531370180089375	0.00538901362278387	0.95	0	0.083429960360598	2015	Nose	faith_pd	0.79508281318534
Expo:Gender	373.174089999497	1	1.92091036435048	0.169975656650587	0.0256391754319166	0.95	0	0.133526817640651	2015	Nose	faith_pd	0.48564473328739
Gender	108.385929816268	1	0.557915625744846	0.457500352930761	0.00758471227737696	0.95	0	0.0909880777921291	2015	Nose	faith_pd	0.75352999306243
Residuals	14181.665670368	73	NA	NA	NA	NA	NA	NA	2015	Nose	faith_pd	NA
(Intercept)	1352.23874968613	1	11.5289570318801	0.00113245455816219	NA	NA	NA	NA	2016	Nose	faith_pd	0.00720652900648667
Age_num	688.327998786439	1	5.86856716218997	0.0180049576480205	0.0773517595191207	0.95	0.00176069276715513	0.217784739863111	2016	Nose	faith_pd	0.0877512030542081
Age_num:Expo	166.788668865787	1	1.42201175436251	0.237099261923097	0.0199099930040216	0.95	0	0.124703958876329	2016	Nose	faith_pd	0.597802727388881
Age_num:Gender	111.67839320556	1	0.952150940028279	0.332532554086177	0.0134196205106323	0.95	0	0.109781040031579	2016	Nose	faith_pd	0.665065108172354
Expo	298.935816791118	1	2.54867580734151	0.114891773732558	0.0351305627425883	0.95	0	0.153918418383028	2016	Nose	faith_pd	0.382972579108526
Expo:Gender	131.343634279367	1	1.11981343262738	0.293596748785672	0.0157454495249512	0.95	0	0.115394445720915	2016	Nose	faith_pd	0.652580424249094
Gender	125.863700495038	1	1.0730924514754	0.303813376048494	0.0150984347868083	0.95	0	0.113867653428368	2016	Nose	faith_pd	0.659944340314554
Residuals	8210.34480536988	70	NA	NA	NA	NA	NA	NA	2016	Nose	faith_pd	NA
(Intercept)	4.446916002475	1	264.052475034444	5.89566888706918e-26	NA	NA	NA	NA	2015	Nose	pielou_e	6.87828036824738e-25
Age_num	0.0197279452027337	1	1.1714214424618	0.282671616229374	0.0157934339086453	0.95	0	0.112771328387833	2015	Nose	pielou_e	0.645370587421202
Age_num:Expo	0.0363680147170506	1	2.15948857427969	0.145988547337434	0.028732081806883	0.95	0	0.139415972009129	2015	Nose	pielou_e	0.434984006465751
Age_num:Gender	0.0168449719491865	1	1.00023398971173	0.320557571414041	0.0135166327967394	0.95	0	0.10733373277773	2015	Nose	pielou_e	0.66338043758909
Expo	0.0436142651076221	1	2.58976212774569	0.111872872942519	0.0342607524464626	0.95	0	0.149422890800261	2015	Nose	pielou_e	0.37740246293862
Expo:Gender	0.0234358946962243	1	1.39159498307151	0.241966081932432	0.0187063469117469	0.95	0	0.119310010568405	2015	Nose	pielou_e	0.597802727388881
Gender	0.0195062743811161	1	1.15825889811455	0.28537091385067	0.0156187444975734	0.95	0	0.112365467600586	2015	Nose	pielou_e	0.645370587421202
Residuals	1.22939528644195	73	NA	NA	NA	NA	NA	NA	2015	Nose	pielou_e	NA
(Intercept)	2.59907493239415	1	157.573573671692	1.36202771727079e-19	NA	NA	NA	NA	2016	Nose	pielou_e	1.41247318828082e-18
Age_num	0.00101873483328929	1	0.0617626241954324	0.804459093159836	0.000881545394835714	0.95	0	0.0566039012720449	2016	Nose	pielou_e	0.91379899685075
Age_num:Expo	2.34523326951841e-05	1	0.00142183968136444	0.970028394882577	2.03115828792845e-05	0.95	0	0.00515751880596859	2016	Nose	pielou_e	0.977066592005137
Age_num:Gender	0.000490233219484049	1	0.0297212671184986	0.86362167552082	0.000424409330505987	0.95	0	0.0466760357609625	2016	Nose	pielou_e	0.933645054617103
Expo	0.0377302280559249	1	2.28746266455022	0.134924854147501	0.0316439750439877	0.95	0	0.147704202875534	2016	Nose	pielou_e	0.415153397376928
Expo:Gender	0.0119323612730882	1	0.723420777411069	0.397924132747277	0.0102288714185348	0.95	0	0.101384568881838	2016	Nose	pielou_e	0.693579579549383
Gender	0.00238479475207853	1	0.144582453885759	0.704918620026563	0.00206120628033976	0.95	0	0.0688910475699515	2016	Nose	pielou_e	0.8695031436451
Residuals	1.15460505862904	70	NA	NA	NA	NA	NA	NA	2016	Nose	pielou_e	NA
(Intercept)	87.5112676940748	1	57.3028125434059	9.02726859739017e-11	NA	NA	NA	NA	2015	Nose	shannon	7.43422119785073e-10
Age_num	21.8786660284562	1	14.32625913398	0.000312649384692028	0.164054423904727	0.95	0.0389305220288383	0.317442557289688	2015	Nose	shannon	0.0021885456928442
Age_num:Expo	3.76953979252356	1	2.4683133703537	0.120487106114288	0.0327066189784934	0.95	0	0.14672850119776	2015	Nose	shannon	0.392283601302333
Age_num:Gender	0.50592963003065	1	0.331285233475871	0.566673347726901	0.00451765208288807	0.95	0	0.0799638761766894	2015	Nose	shannon	0.809533353895573
Expo	1.55246262854314	1	1.01656023650625	0.316666677070513	0.013734226952158	0.95	0	0.10786812158497	2015	Nose	shannon	0.66338043758909
