Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Urban:Gender	1967.7284150374	1	2.29918147414834	0.13538439326042	0.0415771339259909	0.95	0	0.186895740842957	2015	Mouth	observed_otus
(Intercept)	27249.9041951282	1	20.9635482070461	4.30074664906636e-05	NA	NA	NA	NA	2016	Mouth	observed_otus
Age_num	86.1354186643439	1	0.0662645999991041	0.798142850094749	0.00161360183704426	0.95	0	0.0943678574366661	2016	Mouth	observed_otus
Age_num:Gender	1679.47913771437	1	1.29203543667864	0.262273292006878	0.0305503252169815	0.95	0	0.190369183246106	2016	Mouth	observed_otus
Age_num:Urban	11.2617328869601	1	0.00866373248801634	0.926294019593714	0.000211265905773778	0.95	0	0.049392125626465	2016	Mouth	observed_otus
Gender	1173.6837422635	1	0.902923384045001	0.3475670716387	0.0215479806926502	0.95	0	0.171582928354308	2016	Mouth	observed_otus
Residuals	53294.7028320679	41	NA	NA	NA	NA	NA	NA	2016	Mouth	observed_otus
Urban	438.820173107873	1	0.337587530117479	0.564405599269365	0.00816659970472445	0.95	0	0.130706049608223	2016	Mouth	observed_otus
Urban:Gender	1.56777880572918	1	0.00120610356412793	0.972464366955283	2.94162947568289e-05	0.95	0	0.00469227178056225	2016	Mouth	observed_otus
(Intercept)	283.426412202416	1	1.62269037189128	0.209559531200759	NA	NA	NA	NA	2015	Nose	faith_pd
Age_num	964.2099842058	1	5.52035445706729	0.0234581958941703	0.113773992767343	0.95	0.000546109431005528	0.306387471741299	2015	Nose	faith_pd
Age_num:Gender	2.76232472545234	1	0.0158150318497048	0.90050977877978	0.000367656217556148	0.95	0	0.0606696528127466	2015	Nose	faith_pd
Age_num:Urban	166.630546362574	1	0.954003478872772	0.334165576600193	0.0217045866898411	0.95	0	0.167466148958796	2015	Nose	faith_pd
Gender	38.8910818071545	1	0.222661619679381	0.639405134716918	0.00515150181260478	0.95	0	0.117852229087132	2015	Nose	faith_pd
Residuals	7510.57375813431	43	NA	NA	NA	NA	NA	NA	2015	Nose	faith_pd
Urban	8.69724388073791	1	0.0497939969588463	0.824478807023344	0.00115666051647922	0.95	0	0.0844086828271058	2015	Nose	faith_pd
Urban:Gender	197.165164507516	1	1.12882215751373	0.293957450221672	0.0255801560595591	0.95	0	0.175815811044239	2015	Nose	faith_pd
(Intercept)	899.003321001996	1	8.36632382358443	0.00615582338393594	NA	NA	NA	NA	2016	Nose	faith_pd
Age_num	44.4469253311026	1	0.413632921698469	0.523801385010197	0.0102349848750268	0.95	0	0.143943548683586	2016	Nose	faith_pd
Age_num:Gender	33.3931782655327	1	0.310764305694381	0.580318036931575	0.00770921392950323	0.95	0	0.134973330534834	2016	Nose	faith_pd
Age_num:Urban	9.80482347081488	1	0.0912458566877042	0.764164326007139	0.0022759546314394	0.95	0	0.103722600500726	2016	Nose	faith_pd
Gender	105.092081212718	1	0.978010161008158	0.328635313429828	0.0238667069768743	0.95	0	0.179075403094716	2016	Nose	faith_pd
Residuals	4298.19997388928	40	NA	NA	NA	NA	NA	NA	2016	Nose	faith_pd
Urban	3.12989812025899	1	0.029127524445326	0.865345296141304	0.000727658239054501	0.95	0	0.0783680084810503	2016	Nose	faith_pd
Urban:Gender	231.901810567341	1	2.15812956098924	0.149638652011307	0.0511913024477788	0.95	0	0.228933232059136	2016	Nose	faith_pd
(Intercept)	2.33715463805616	1	137.007326150901	5.8858179706774e-15	NA	NA	NA	NA	2015	Nose	pielou_e
Age_num	0.000505907603853939	1	0.0296570226697049	0.864078731795875	0.000689222845863736	0.95	0	0.0768795709825121	2015	Nose	pielou_e
Age_num:Gender	0.0149703210107164	1	0.877581491571642	0.354096863457758	0.0200006805694205	0.95	0	0.16359756167129	2015	Nose	pielou_e
Age_num:Urban	0.032653732614504	1	1.91420820920972	0.173637494228018	0.0426192130626764	0.95	0	0.207677089999194	2015	Nose	pielou_e
Gender	0.0192143848296081	1	1.12637454376084	0.294474736242921	0.0255261066744516	0.95	0	0.175703127798792	2015	Nose	pielou_e
Residuals	0.733520259535069	43	NA	NA	NA	NA	NA	NA	2015	Nose	pielou_e
Urban	0.0671832765721624	1	3.93837914502055	0.0536007987117326	0.0839053076982603	0.95	0	0.268971776224985	2015	Nose	pielou_e
Urban:Gender	0.000793270292840598	1	0.0465026318615469	0.830284365299982	0.00108028827008881	0.95	0	0.0829884621208483	2015	Nose	pielou_e
(Intercept)	1.72495959220326	1	110.556695501654	4.45434723947306e-13	NA	NA	NA	NA	2016	Nose	pielou_e
Age_num	0.0491150632136806	1	3.14789929735323	0.0836368514538919	0.072956026796566	0.95	0	0.261295102101179	2016	Nose	pielou_e
Age_num:Gender	0.0175772496690256	1	1.12656705014921	0.294875486011336	0.0273926838769569	0.95	0	0.186482859806247	2016	Nose	pielou_e
Age_num:Urban	0.00206930631963531	1	0.132626682800933	0.717642106754441	0.00330470975272025	0.95	0	0.112477762571169	2016	Nose	pielou_e
Gender	0.011919894172866	1	0.763973902019495	0.387305445078777	0.0187413990563282	0.95	0	0.167406533304715	2016	Nose	pielou_e
Residuals	0.624099547974445	40	NA	NA	NA	NA	NA	NA	2016	Nose	pielou_e
Urban	0.0441770485657021	1	2.83141038695391	0.100228378382433	0.0661059339716802	0.95	0	0.251559505553411	2016	Nose	pielou_e
Urban:Gender	0.0346393933248301	1	2.22011975091182	0.144066197427012	0.0525844020341481	0.95	0	0.231144045731787	2016	Nose	pielou_e
(Intercept)	42.9417689038265	1	31.5877011088589	1.30070553931467e-06	NA	NA	NA	NA	2015	Nose	shannon
Age_num	3.17874636168568	1	2.33826627400188	0.133553776350617	0.0515737911077271	0.95	0	0.222387020517081	2015	Nose	shannon
Age_num:Gender	0.14383657118249	1	0.105805297150457	0.746548709475005	0.00245454867206601	0.95	0	0.100427928872279	2015	Nose	shannon
Age_num:Urban	3.24321310179331	1	2.38568761154722	0.12977955178874	0.0525647563603342	0.95	0	0.223921393011346	2015	Nose	shannon
Gender	0.502471841676908	1	0.369615196478171	0.546411939362875	0.00852244583687673	0.95	0	0.131796649401795	2015	Nose	shannon
Residuals	58.4561711693125	43	NA	NA	NA	NA	NA	NA	2015	Nose	shannon
Urban	4.02023152517669	1	2.95725758503576	0.0926841107659868	0.0643479994332533	0.95	0	0.241805498203142	2015	Nose	shannon
Urban:Gender	1.09764386505341	1	0.807420076497835	0.373888341818333	0.0184311259391193	0.95	0	0.159905501098228	2015	Nose	shannon
(Intercept)	50.0035963680637	1	44.5342403133099	5.3586366765213e-08	NA	NA	NA	NA	2016	Nose	shannon
Age_num	0.787817296533859	1	0.701646428560267	0.407208290827254	0.0172387726327435	0.95	0	0.163721336682626	2016	Nose	shannon
Age_num:Gender	0.00726862804735617	1	0.0064735909358665	0.936273718562745	0.000161813585522649	0.95	0	0.044789473963041	2016	Nose	shannon
Age_num:Urban	0.00762935235414375	1	0.00679485948717395	0.934715154709819	0.000169842635758226	0.95	0	0.045897981569982	2016	Nose	shannon
Gender	0.151260389890176	1	0.134715641324478	0.715526630179068	0.00335658641582025	0.95	0	0.112853648029962	2016	Nose	shannon
