gene_by_taxon	geneID	taxon	term	Estimate	Std.Error	t.value	p.value	fdr
K00111 sutt	K00111	sutt	MediumUrban	1.4965071387220927	0.6229228441528696	2.4023956622705582	0.01846556040708823	0.04342746371139569
K00123 sutt	K00123	sutt	MediumUrban	1.348958187058005	0.4850115120243478	2.7812910696236974	0.006667313428640508	0.019695872547882198
K00125 msi	K00125	msi	MediumUrban	-3.061457921944018	0.7117360656570036	-4.3013949547687815	4.510916683755716e-5	0.0010037843573852674
K00127 sutt	K00127	sutt	MediumUrban	1.6904355426502926	0.7058517128557611	2.3948876398005265	0.018822903037956737	0.043895526085577855
K00133 msi	K00133	msi	MediumUrban	-2.4631462229441867	0.6272185141879225	-3.927094253799717	1.742537340868231e-4	0.001957066702173235
K00150 msi	K00150	msi	MediumUrban	-3.0626860928653308	0.6312544067386642	-4.851746079189378	5.485229145478574e-6	3.957675937995299e-4
K00169 msi	K00169	msi	MediumUrban	-3.1371662224063965	0.6485264421464965	-4.8373759626870205	5.805056135930866e-6	4.044257939259547e-4
K00170 msi	K00170	msi	MediumUrban	-2.643347174353004	0.6655471019392257	-3.9716906086000514	1.4889786284167422e-4	0.0018333525749964516
K00172 msi	K00172	msi	MediumUrban	-1.7476729622908156	0.5707985968115373	-3.0618031860156294	0.00294522283510099	0.011202197396765907
K00174 msi	K00174	msi	MediumUrban	-3.048552969632506	0.6764363014170145	-4.5067849895789545	2.0873940108662004e-5	6.697679358654804e-4
K00177 msi	K00177	msi	MediumUrban	-1.5073097078110642	0.5889278365542275	-2.559413249389297	0.012254548433573525	0.03124297156995498
