Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Expo:Gender	1028.05804803441	1	0.683269268841955	0.409869794394555	0.00485679123319381	0.95	0	0.0524869028812781	2016	Mouth	observed_otus
Gender	192.66362137394	1	0.128048345091317	0.72100315128802	0.00091379525086922	0.95	0	0.0347024666376683	2016	Mouth	observed_otus
Residuals	210646.275616573	140	NA	NA	NA	NA	NA	NA	2016	Mouth	observed_otus
(Intercept)	15914.1016733802	1	91.6439995654983	9.33337272268042e-17	NA	NA	NA	NA	2015	Nose	faith_pd
Age_num	1081.90018575472	1	6.23030204206041	0.0138094403743365	0.0457335992702772	0.95	0.00175740009060383	0.13346232247182	2015	Nose	faith_pd
Age_num:Expo	1.64688285992088	1	0.00948384867689226	0.92257059761934	7.29473604243432e-05	0.95	0	0.017148411597395	2015	Nose	faith_pd
Age_num:Gender	192.709310770944	1	1.10974859624663	0.294090660019314	0.0084642721699064	0.95	0	0.0653605717977876	2015	Nose	faith_pd
Expo	775.344996539523	1	4.46495303249416	0.0365087123995004	0.0332053292088325	0.95	0	0.113797065343626	2015	Nose	faith_pd
Expo:Gender	133.162630789157	1	0.766839142330929	0.38281180947604	0.00586417127889951	0.95	0	0.0582267838950771	2015	Nose	faith_pd
Gender	101.29642681907	1	0.583332310294433	0.446393059803217	0.00446712685282306	0.95	0	0.0538521528106897	2015	Nose	faith_pd
Residuals	22574.6718535655	130	NA	NA	NA	NA	NA	NA	2015	Nose	faith_pd
(Intercept)	13540.6766797228	1	124.452796067108	9.94666419330694e-21	NA	NA	NA	NA	2016	Nose	faith_pd
Age_num	821.851375735172	1	7.55366250011779	0.00683409050403612	0.0545179561753654	0.95	0.0042794778608598	0.145938741299247	2016	Nose	faith_pd
Age_num:Expo	17.2512523068654	1	0.158556816326885	0.6911369169287	0.0012088941825498	0.95	0	0.0388639342783161	2016	Nose	faith_pd
Age_num:Gender	552.212489919624	1	5.07540280439543	0.0259305801381062	0.0372984587941377	0.95	0	0.120046437180168	2016	Nose	faith_pd
Expo	34.1017745097561	1	0.313430509344091	0.576538725479059	0.0023868884403396	0.95	0	0.0455790374895372	2016	Nose	faith_pd
Expo:Gender	264.909187961175	1	2.43478889020414	0.121082481046323	0.0182470322054287	0.95	0	0.0867002664452506	2016	Nose	faith_pd
Gender	117.257376629843	1	1.07771633030209	0.301121369102983	0.00815971354022292	0.95	0	0.0642720790849911	2016	Nose	faith_pd
Residuals	14253.0236451031	131	NA	NA	NA	NA	NA	NA	2016	Nose	faith_pd
(Intercept)	12.8805589684517	1	782.124193168152	7.58205056045669e-57	NA	NA	NA	NA	2015	Nose	pielou_e
Age_num	0.012539236762823	1	0.761398667564677	0.384499991243983	0.00582280914186598	0.95	0	0.0581041596810106	2015	Nose	pielou_e
Age_num:Expo	2.27721797041447e-05	1	0.00138275619260065	0.970394196886539	1.06364729611676e-05	0.95	0	0.00259589473504751	2015	Nose	pielou_e
Age_num:Gender	0.000645909966881852	1	0.039220488252418	0.843321841034989	0.000301605070417668	0.95	0	0.0278130468969784	2015	Nose	pielou_e
Expo	0.012703180032402	1	0.771353514847229	0.381419015867679	0.00589848995299764	0.95	0	0.0583282695316932	2015	Nose	pielou_e
Expo:Gender	0.0103749928671353	1	0.629982980180318	0.428807942623116	0.00482265224114667	0.95	0	0.055016420711936	2015	Nose	pielou_e
Gender	0.000157364945032601	1	0.00955540291132012	0.922279982583844	7.34976970093242e-05	0.95	0	0.017204685181655	2015	Nose	pielou_e
Residuals	2.1409293824756	130	NA	NA	NA	NA	NA	NA	2015	Nose	pielou_e
(Intercept)	11.1342133862021	1	822.550034857964	2.56046697945956e-58	NA	NA	NA	NA	2016	Nose	pielou_e
Age_num	0.0274103472558027	1	2.02496407322944	0.157109676761593	0.0152224365354063	0.95	0	0.0805551729991679	2016	Nose	pielou_e
Age_num:Expo	0.076845470955861	1	5.67702832889403	0.0186252377777218	0.041536082531975	0.95	0.000824545515216439	0.126684215207051	2016	Nose	pielou_e
Age_num:Gender	0.000200283065298956	1	0.0147960917066016	0.903371168717597	0.000112934509291948	0.95	0	0.0203224182891518	2016	Nose	pielou_e
Expo	0.137198821541708	1	10.1356864223076	0.00181705195551601	0.0718151920271923	0.95	0.010520658443185	0.169746847479707	2016	Nose	pielou_e
Expo:Gender	0.0215167022150005	1	1.58956574147481	0.209629068526591	0.0119886186562687	0.95	0	0.0735209844885309	2016	Nose	pielou_e
Gender	0.00453030954287525	1	0.334680694823697	0.563909113791359	0.00254830402033244	0.95	0	0.0463118740160329	2016	Nose	pielou_e
Residuals	1.77324404811962	131	NA	NA	NA	NA	NA	NA	2016	Nose	pielou_e
(Intercept)	428.926842807918	1	269.881224022398	1.61712497574511e-33	NA	NA	NA	NA	2015	Nose	shannon
Age_num	11.5473970714719	1	7.26563447398209	0.00795825800664582	0.0529311979784659	0.95	0.00371274633074193	0.144058018554634	2015	Nose	shannon
Age_num:Expo	0.0653482549200533	1	0.041117191244311	0.839628899903291	0.000316186081236462	0.95	0	0.0281734310983106	2015	Nose	shannon
Age_num:Gender	0.285210054213877	1	0.179454468344397	0.672542547159388	0.00137851605752454	0.95	0	0.0402819911759119	2015	Nose	shannon
Expo	0.000340652055086821	1	0.000214338634044751	0.988341585718373	1.64875600502032e-06	0.95	0	0	2015	Nose	shannon
Expo:Gender	1.45977373589668	1	0.918491181527592	0.339650440793491	0.00701574829680889	0.95	0	0.0615121258769645	2015	Nose	shannon
Gender	0.00030706855395124	1	0.000193207859542286	0.988931132458369	1.48621209534176e-06	0.95	0	0	2015	Nose	shannon
Residuals	206.611222277551	130	NA	NA	NA	NA	NA	NA	2015	Nose	shannon
(Intercept)	386.960287001148	1	306.830429367235	3.92669103546099e-36	NA	NA	NA	NA	2016	Nose	shannon
Age_num	9.7305435093881	1	7.71558979889131	0.00627879445215836	0.0556216486559103	0.95	0.0046223112666088	0.147513359824009	2016	Nose	shannon
Age_num:Expo	3.36290211918208	1	2.66652867441552	0.104880642892587	0.019949112921984	0.95	0	0.0900140514274629	2016	Nose	shannon
Age_num:Gender	2.40158019292832	1	1.90427262566574	0.169951477422378	0.0143281520454143	0.95	0	0.0786644082499496	2016	Nose	shannon
Expo	3.61786550578981	1	2.86869548070989	0.0926944850372644	0.021429173343392	0.95	0	0.0928238390469022	2016	Nose	shannon
Expo:Gender	1.96025293754107	1	1.55433327578736	0.214721458853644	0.0117260087797618	0.95	0	0.0729233726743127	2016	Nose	shannon
Gender	0.336627438583605	1	0.266920262846232	0.606276299232932	0.00203341605266397	0.95	0	0.0438605363298737	2016	Nose	shannon
Residuals	165.211115799988	131	NA	NA	NA	NA	NA	NA	2016	Nose	shannon
(Intercept)	517215.671514328	1	52.253276395918	3.71533270897485e-11	NA	NA	NA	NA	2015	Nose	observed_otus
Age_num	26640.0861293897	1	2.69139521556724	0.103308841852654	0.020283117915784	0.95	0	0.0909978592523242	2015	Nose	observed_otus
Age_num:Expo	1035.33192660892	1	0.104597536969867	0.746900323882877	0.000803949583258537	0.95	0	0.0355596985187625	2015	Nose	observed_otus
Age_num:Gender	5033.77589049609	1	0.508552422920762	0.477044345219437	0.00389669805908786	0.95	0	0.0518899472956464	2015	Nose	observed_otus
Expo	34377.8616538804	1	3.47312737381176	0.0646293409841826	0.0260211732664714	0.95	0	0.10154308899596	2015	Nose	observed_otus
Expo:Gender	4111.5838454687	1	0.41538518443039	0.52038440653517	0.0031850934139631	0.95	0	0.0492306816808304	2015	Nose	observed_otus
Gender	796.318779186113	1	0.0804505113819221	0.777139037812002	0.000618467348980181	0.95	0	0.0334146545232564	2015	Nose	observed_otus
Residuals	1286771.6999678	130	NA	NA	NA	NA	NA	NA	2015	Nose	observed_otus
(Intercept)	337880.431888595	1	65.9052332240621	3.02897622597769e-13	NA	NA	NA	NA	2016	Nose	observed_otus
Age_num	31016.8017800457	1	6.04997911170071	0.0152099250980087	0.044144327134627	0.95	0.00143723040152991	0.130673857249288	2016	Nose	observed_otus
Age_num:Expo	4073.32515298424	1	0.794522022788754	0.374370510011769	0.00602849049106436	0.95	0	0.0549516280692952	2016	Nose	observed_otus
Age_num:Gender	23426.4095153497	1	4.56943592170074	0.0344045335281904	0.0337055022072958	0.95	0	0.114246844695917	2016	Nose	observed_otus
Expo	305.691175205982	1	0.0596265610407724	0.807469181656462	0.000454957507550973	0.95	0	0.0308129516730783	2016	Nose	observed_otus
Expo:Gender	9285.1399214823	1	1.81111202156006	0.180699415628541	0.0136367506753957	0.95	0	0.0771755869287908	2016	Nose	observed_otus
Gender	5212.0168135697	1	1.01662940865217	0.315178616982735	0.00770076779876904	0.95	0	0.0630672527346586	2016	Nose	observed_otus
Residuals	671605.795353528	131	NA	NA	NA	NA	NA	NA	2016	Nose	observed_otus
(Intercept)	181585.477603207	1	1013.32807058722	2.2393897397725e-70	NA	NA	NA	NA	2015	Right_Arm	faith_pd
